<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200101;000000;7165.7200000;7238.1400000;7136.0500000;7174.3300000;3177
20200102;000000;7174.3300000;7186.1800000;6903.0000000;6945.0200000;7812
20200103;000000;6945.0200000;7401.2000000;6854.6700000;7334.4500000;13847
20200104;000000;7334.4500000;7398.0000000;7263.3200000;7348.6300000;4608
20200105;000000;7348.6300000;7488.8700000;7312.2200000;7355.4000000;5759
20200106;000000;7355.4000000;7805.0000000;7343.1700000;7764.6300000;11139
20200107;000000;7764.6300000;8216.0000000;7723.0000000;8158.5200000;19359
20200108;000000;8160.0100000;8469.3900000;7845.0000000;8045.5100000;23639
20200109;000000;8047.7500000;8048.6700000;7744.4800000;7813.7800000;9296
20200110;000000;7813.7800000;8199.7700000;7671.0000000;8198.0900000;13167
20200111;000000;8198.0900000;8290.0000000;8000.0100000;8020.0000000;7302
20200112;000000;8017.4700000;8185.0000000;7963.2500000;8180.8100000;3700
20200113;000000;8180.8100000;8195.8100000;8041.9500000;8104.5000000;6508
20200114;000000;8105.6000000;8893.6900000;8105.2300000;8815.6900000;26671
20200115;000000;8812.5800000;8900.0000000;8550.0000000;8808.8100000;14723
20200116;000000;8808.8100000;8850.0000000;8580.0000000;8714.7600000;8988
20200117;000000;8714.7700000;9013.0000000;8665.6700000;8899.4200000;15214
20200118;000000;8899.4200000;8980.0000000;8800.1000000;8909.3200000;5409
20200119;000000;8908.9500000;9194.9900000;8465.0000000;8697.5300000;14908
20200120;000000;8697.5300000;8734.8400000;8504.0600000;8628.8900000;5369
20200121;000000;8628.8900000;8774.3100000;8465.0000000;8722.0300000;7266
20200122;000000;8722.0300000;8791.7600000;8565.0000000;8660.3800000;5342
20200123;000000;8660.3800000;8665.0000000;8278.0000000;8385.2200000;11956
20200124;000000;8385.2100000;8509.9900000;8216.7100000;8427.2600000;8431
20200125;000000;8427.5800000;8437.7600000;8252.7300000;8326.8100000;3634
20200126;000000;8326.8000000;8595.0000000;8278.6800000;8595.0000000;5335
20200127;000000;8595.0000000;8985.0000000;8556.6000000;8895.9600000;9289
20200128;000000;8895.9500000;9418.9100000;8880.8700000;9394.5000000;16855
20200129;000000;9391.1400000;9439.8300000;9224.7500000;9288.4400000;12027
20200130;000000;9287.9000000;9574.6800000;9171.1100000;9503.0800000;12603
20200131;000000;9502.7100000;9522.5000000;9195.4900000;9334.9800000;9474
20200201;000000;9334.9800000;9458.0800000;9285.0100000;9380.1800000;4218
20200202;000000;9380.1800000;9480.0000000;9140.0000000;9323.5000000;7071
20200203;000000;9325.0100000;9619.9500000;9220.0000000;9280.4900000;11681
20200204;000000;9280.4900000;9350.0000000;9078.0500000;9164.3300000;8023
20200205;000000;9164.3300000;9769.7000000;9150.0000000;9613.8200000;13011
20200206;000000;9613.9100000;9857.0000000;9521.4700000;9763.0100000;12351
20200207;000000;9763.0100000;9885.0000000;9713.9900000;9808.0500000;8353
20200208;000000;9807.9200000;9955.0000000;9653.4700000;9905.6400000;7818
