<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220402;000000;46296.3600000;47219.4600000;45642.8900000;45826.2700000;8366
20220403;000000;45826.2400000;47469.4000000;45552.0700000;46422.1600000;8787
20220404;000000;46420.0800000;46900.0000000;45129.9300000;46596.8300000;13791
20220405;000000;46594.3900000;47200.0000000;45371.1600000;45506.5000000;14400
20220406;000000;45509.9200000;45523.2500000;43115.2600000;43166.7000000;24246
20220407;000000;43166.7100000;43908.5800000;42734.6900000;43452.1800000;13247
20220408;000000;43444.7100000;44000.0000000;42112.0000000;42262.0200000;11946
20220409;000000;42261.9000000;42816.3800000;42118.9600000;42766.9300000;4793
20220410;000000;42766.4600000;43443.3200000;41885.8600000;42165.9600000;5757
20220411;000000;42165.9600000;42424.1400000;39204.5900000;39535.8700000;17218
20220412;000000;39535.8800000;40705.6800000;39250.0000000;40086.2300000;13874
20220413;000000;40086.7000000;41570.8800000;39550.0000000;41146.6800000;11445
20220414;000000;41147.1500000;41512.4300000;39573.8000000;39954.0800000;11020
20220415;000000;39953.6200000;40850.0000000;39770.2200000;40554.5800000;6443
20220416;000000;40554.6000000;40699.9900000;40005.0000000;40387.6000000;4083
20220417;000000;40387.6000000;40605.4600000;39553.0700000;39683.5400000;4800
20220418;000000;39681.1100000;41100.0000000;38550.0000000;40803.5800000;13089
20220419;000000;40810.8700000;41772.9400000;40571.9900000;41503.8500000;10219
20220420;000000;41501.5600000;42209.5800000;40900.0000000;41377.6100000;14617
20220421;000000;41371.8800000;43109.4700000;39744.7500000;40480.8100000;17209
20220422;000000;40483.3800000;40802.6500000;39174.8000000;39712.2500000;16865
20220423;000000;39712.2000000;39993.8200000;39296.1900000;39465.8700000;6946
20220424;000000;39459.6300000;39945.7400000;39000.0000000;39464.5600000;6427
20220425;000000;39463.7500000;40605.3000000;38210.2400000;40439.2200000;20534
20220426;000000;40440.9000000;40817.1600000;37700.0000000;38113.8200000;21647
20220427;000000;38118.4300000;39470.0000000;37882.8300000;39251.1100000;20820
20220428;000000;39251.0200000;40400.0000000;38883.8300000;39743.2200000;16722
20220429;000000;39741.2100000;39926.8000000;38161.8500000;38593.1000000;14295
20220430;000000;38592.2700000;38795.0000000;37590.0000000;37644.1000000;6920
20220501;000000;37640.3500000;38675.3700000;37401.0000000;38473.0500000;7969
20220502;000000;38469.4900000;39181.2700000;38041.0000000;38510.8900000;17926
20220503;000000;38510.8800000;38643.4800000;37505.0100000;37719.5900000;17953
20220504;000000;37719.5800000;40038.2700000;37651.3800000;39669.5600000;21510
20220505;000000;39669.5600000;39864.5500000;35568.0000000;36537.2200000;28820
20220506;000000;36537.2200000;36664.4000000;35255.4000000;35999.1000000;28643
20220507;000000;35999.1000000;36125.0000000;34785.0000000;35458.0000000;11389
20220508;000000;35458.0000000;35499.9300000;33701.0000000;34027.9100000;22385
20220509;000000;34033.4900000;34231.5400000;30010.0000000;30078.2700000;55131
20220510;000000;30078.2700000;32645.4900000;29735.0500000;31002.3900000;55826
20220511;000000;31002.3900000;32185.9000000;27682.3800000;28972.3400000;61531
20220512;000000;28977.7500000;30091.2000000;25338.5300000;28941.9500000;70707
20220513;000000;28941.9500000;30990.0000000;28662.7000000;29232.1800000;34670
20220514;000000;29234.7300000;30287.5800000;28564.3800000;30041.8800000;15254
20220515;000000;30041.9000000;31418.3500000;29436.0600000;31290.0500000;16420
20220516;000000;31290.0200000;31293.3100000;29055.0000000;29839.8900000;22655
20220517;000000;29839.8900000;30750.0000000;29415.0100000;30412.1200000;19834
20220518;000000;30412.1000000;30675.9200000;28605.0000000;28672.9400000;28336
20220519;000000;28671.5000000;30500.0000000;28645.2000000;30274.5900000;28998
20220520;000000;30274.5900000;30729.8300000;28690.9200000;29155.7500000;34330
20220521;000000;29155.7400000;29613.3400000;28913.2600000;29408.2600000;9994
20220522;000000;29407.4000000;30457.9000000;29211.0000000;30260.8700000;11773
20220523;000000;30258.0400000;30635.3900000;28847.7200000;29082.5200000;25392
20220524;000000;29079.3100000;29802.0000000;28611.0000000;29626.4400000;17095
20220525;000000;29627.6100000;30192.0800000;29296.1200000;29503.4900000;17180
20220526;000000;29503.4800000;29850.0000000;28000.0000000;29166.0600000;26605
20220527;000000;29166.0600000;29355.4000000;28220.0000000;28598.3100000;21039
20220528;000000;28598.3100000;29239.5200000;28500.0000000;29008.9900000;7732
20220529;000000;29008.9900000;29550.0000000;28809.8400000;29447.0700000;6740
20220530;000000;29447.0800000;32232.1600000;29273.6500000;31711.4200000;24914
20220531;000000;31716.6700000;32383.9600000;31195.9000000;31784.0500000;21186
20220601;000000;31784.1800000;31964.5600000;29308.0100000;29788.7900000;26864
20220602;000000;29789.1900000;30655.0000000;29558.6100000;30433.7500000;18520
20220603;000000;30429.1200000;30674.9500000;29213.4700000;29670.8500000;15036
20220604;000000;29672.7700000;29952.0000000;29454.1400000;29843.1800000;6394
20220605;000000;29837.5600000;30158.4400000;29505.6500000;29901.5400000;5481
20220606;000000;29899.6200000;31745.0000000;29866.4400000;31343.6100000;20380
20220607;000000;31349.5900000;31549.2100000;29200.0000000;31106.9000000;23239
20220608;000000;31111.0000000;31306.3200000;29829.9800000;30177.0000000;16771
20220609;000000;30182.9200000;30679.7200000;29904.0000000;30079.6200000;13352
20220610;000000;30079.5900000;30337.8300000;28821.1500000;29063.1100000;23204
20220611;000000;29058.7900000;29411.1100000;28080.0100000;28388.6300000;13273
20220612;000000;28395.0300000;28516.3300000;26532.9500000;26555.2000000;18641
20220613;000000;26555.1700000;26869.3500000;21920.0000000;22460.9700000;81730
20220614;000000;22460.9700000;23299.2200000;20816.4000000;22120.2500000;47389
20220615;000000;22120.2300000;22769.1200000;20071.0000000;22562.3300000;62058
20220616;000000;22562.3300000;22974.1000000;20200.0000000;20372.0000000;37577
20220617;000000;20371.9600000;21338.7000000;20209.7300000;20447.8600000;25556
20220618;000000;20447.8600000;20750.0000000;17567.4500000;18948.8900000;52912
20220619;000000;18944.6600000;20795.1100000;17934.2600000;20552.4400000;29381
20220620;000000;20552.3900000;21041.6200000;19603.8000000;20549.7500000;24928
20220621;000000;20547.6800000;21711.0000000;20328.0300000;20696.9600000;23770
20220622;000000;20699.6300000;20873.5200000;19751.5100000;19968.4600000;26567
20220623;000000;19970.0700000;21211.9700000;19869.4100000;21104.4500000;21451
20220624;000000;21104.4500000;21537.4600000;20712.5400000;21223.7200000;21331
20220625;000000;21221.1300000;21594.5000000;20900.0000000;21478.0400000;12877
20220626;000000;21474.1400000;21866.0000000;20944.6800000;21027.9200000;11140
20220627;000000;21024.8500000;21520.0000000;20500.0000000;20725.1700000;17449
20220628;000000;20722.9500000;21189.9900000;20164.7000000;20252.8900000;17636
20220629;000000;20253.5000000;20410.9100000;19823.4300000;20094.7900000;18293
20220630;000000;20098.0000000;20143.5300000;18603.0000000;19985.6200000;28371
20220701;000000;19985.6200000;20879.9900000;18938.3300000;19252.7600000;32981
20220702;000000;19252.7600000;19422.0200000;18955.0200000;19224.0300000;10713
20220703;000000;19225.5400000;19622.3300000;18755.7500000;19291.3300000;11827
20220704;000000;19291.3500000;20331.7600000;19029.3300000;20211.3500000;14468
20220705;000000;20212.4200000;20734.8900000;19274.9500000;20153.5100000;21950
20220706;000000;20153.7400000;20650.0000000;19743.0000000;20542.6700000;18496
20220707;000000;20542.6600000;21855.7200000;20224.8000000;21614.6000000;25215
20220708;000000;21618.0400000;22490.5400000;21172.0000000;21582.2000000;25327
20220709;000000;21582.2800000;21959.3000000;21311.0400000;21583.9900000;9422
20220710;000000;21582.2300000;21595.7500000;20636.5300000;20850.6500000;9624
20220711;000000;20850.6500000;20854.3200000;19860.1200000;19942.4300000;16065
20220712;000000;19942.4400000;20037.4600000;19226.4700000;19303.6500000;21643
20220713;000000;19304.7100000;20330.7100000;18892.0000000;20220.2300000;28204
20220714;000000;20219.6900000;20893.7300000;19607.1400000;20577.0200000;24367
20220715;000000;20574.9600000;21196.3700000;20368.6700000;20827.5500000;17737
20220716;000000;20823.0600000;21582.7100000;20475.9400000;21189.6800000;12479
20220717;000000;21189.2300000;21667.1000000;20750.1000000;20791.7400000;11465
20220718;000000;20791.7400000;22777.0000000;20755.9500000;22427.5600000;31433
20220719;000000;22434.9700000;23800.0000000;21578.5700000;23395.0600000;34806
20220720;000000;23398.4600000;24287.1300000;22899.0000000;23226.9900000;34100
20220721;000000;23225.2400000;23434.6500000;22340.0700000;23153.9600000;24117
20220722;000000;23152.7600000;23763.5500000;22505.5600000;22687.6800000;20873
20220723;000000;22688.8500000;23006.1600000;21941.0100000;22450.6900000;12599
20220724;000000;22451.3600000;23036.4600000;22263.8500000;22583.4300000;9134
20220725;000000;22583.3700000;22665.7400000;21254.9700000;21313.4100000;22279
20220726;000000;21312.0600000;21344.4300000;20715.0000000;21261.5700000;19305
20220727;000000;21260.2200000;23110.7300000;21045.7300000;22962.5900000;24205
20220728;000000;22960.7400000;24206.1100000;22580.8600000;23851.7000000;25670
20220729;000000;23851.6600000;24450.0000000;23429.7100000;23784.5000000;18443
20220730;000000;23787.8400000;24666.0000000;23516.1100000;23650.1300000;13301
20220731;000000;23648.1500000;24192.1800000;23240.0100000;23307.4400000;7983
20220801;000000;23307.4400000;23518.8900000;22850.0000000;23273.8600000;12563
20220802;000000;23273.8500000;23464.9700000;22659.0600000;22989.4000000;15013
20220803;000000;22994.7800000;23650.9600000;22694.5600000;22825.0000000;23976
20220804;000000;22824.8800000;23234.2900000;22392.8800000;22623.9400000;21765
20220805;000000;22624.4400000;23478.5800000;22589.8300000;23320.8100000;26747
20220806;000000;23320.7100000;23357.1900000;22917.4900000;22960.9300000;9281
20220807;000000;22960.8600000;23405.0200000;22852.1300000;23177.3900000;8302
20220808;000000;23180.2600000;24251.0800000;23158.3200000;23815.6500000;24085
20220809;000000;23815.6800000;23929.3500000;22871.6600000;23158.2700000;22346
20220810;000000;23158.3200000;24224.6700000;22666.2300000;23962.1800000;25966
20220811;000000;23959.3000000;24929.9900000;23862.6600000;23944.8600000;29676
20220812;000000;23944.8500000;24463.0100000;23600.0100000;24415.1800000;17245
20220813;000000;24415.0800000;24898.9100000;24302.3600000;24456.4900000;13666
20220814;000000;24456.1700000;25054.1000000;24151.6300000;24316.7100000;23306
20220815;000000;24316.5800000;25214.5700000;23777.0000000;24097.8200000;27821
20220816;000000;24099.7000000;24253.9800000;23668.0000000;23857.9300000;19571
20220817;000000;23857.8900000;24448.4900000;23180.1400000;23341.1700000;22740
20220818;000000;23344.4200000;23600.0000000;23107.2700000;23189.4600000;13822
20220819;000000;23188.9400000;23206.7600000;20782.3900000;20834.9400000;45971
20220820;000000;20834.9400000;21372.9300000;20760.9300000;21139.2300000;21819
20220821;000000;21139.2200000;21795.0800000;21067.3300000;21518.6200000;16017
20220822;000000;21514.4500000;21540.0000000;20889.6900000;21398.2500000;26209
20220823;000000;21396.3700000;21679.5200000;20889.6900000;21528.3400000;22764
